index,brand,model,chipset,vram,core_clock,boost_clock,color,length,price
379,Asus,GTX760-DC2OC-4GD5,"GeForce GTX 760","{'total': 4000000000}","{'cycles': 1006000000}","{'cycles': 1072000000}","Black / Red",218,NULL
380,Asus,GTX760-DCMOC-2GD5,"GeForce GTX 760","{'total': 2000000000}","{'cycles': 1006000000}","{'cycles': 1075000000}","Black / Red",170,NULL
381,Asus,GTX780-3GD5,"GeForce GTX 780","{'total': 3000000000}","{'cycles': 863000000}",NULL,"Black / Silver",274,NULL
382,Asus,GTX780TI-3GD5,"GeForce GTX 780 Ti","{'total': 3000000000}","{'cycles': 876000000}","{'cycles': 928000000}","Black / Silver",274,NULL
383,Asus,GTX950-2G,"GeForce GTX 950 75W","{'total': 2000000000}","{'cycles': 1026000000}","{'cycles': 1228000000}","White / Blue",210,NULL
384,Asus,GTX950-2GD5,"GeForce GTX 950","{'total': 2000000000}","{'cycles': 1026000000}","{'cycles': 1228000000}",White,210,NULL
385,Asus,GTX950-M-2GD5,"GeForce GTX 950","{'total': 2000000000}","{'cycles': 1026000000}","{'cycles': 1190000000}","Black / Red",172,NULL
386,Asus,GTX950-OC-2GD5,"GeForce GTX 950","{'total': 2000000000}","{'cycles': 1076000000}","{'cycles': 1279000000}","White / Blue",210,NULL
387,Asus,GTX960-DC2OC-2GD5-BLACK,"GeForce GTX 960","{'total': 2000000000}","{'cycles': 1279000000}","{'cycles': 1342000000}","Black / Red",290,NULL
388,Asus,GTX960-MOC-2GD5,"GeForce GTX 960","{'total': 2000000000}","{'cycles': 1253000000}","{'cycles': 1190000000}","Black / Red",170,NULL
389,Asus,GTX970-DCMOC-4GD5,"GeForce GTX 970","{'total': 4000000000}","{'cycles': 1088000000}","{'cycles': 1228000000}","Black / Red",170,NULL
390,Asus,GTX980-4GD5,"GeForce GTX 980","{'total': 4000000000}","{'cycles': 1127000000}","{'cycles': 1216000000}","Black / Silver",268,NULL
391,Asus,GTX980TI-6GD5,"GeForce GTX 980 Ti","{'total': 6000000000}","{'cycles': 1000000000}","{'cycles': 1076000000}","Black / Silver",282,NULL
392,Asus,GTXTITAN-6GD5,"GeForce GTX Titan","{'total': 6000000000}","{'cycles': 836000000}",NULL,"Black / Silver",267,NULL
393,Asus,GTXTITANBLACK-6GD5,"GeForce GTX Titan Black","{'total': 6000000000}","{'cycles': 889000000}","{'cycles': 980000000}","Black / Silver",274,NULL
394,Asus,GTXTITANX-12GD5,"GeForce GTX Titan X","{'total': 12000000000}","{'cycles': 1075000000}","{'cycles': 1000000000}","Black / Silver",267,NULL
395,Asus,GTXTITANZ-12GD5,"GeForce GTX Titan Z","{'total': 12000000000}","{'cycles': 705000000}","{'cycles': 876000000}","Black / Silver",270,NULL
396,Asus,HD6450-SL-2GD3-L,"Radeon HD 6450","{'total': 2000000000}","{'cycles': 650000000}",NULL,NULL,167,NULL
397,Asus,HD6570-2GD3-L,"Radeon HD 6570","{'total': 2000000000}","{'cycles': 650000000}",NULL,NULL,167,NULL
398,Asus,HD6670-2GD3,"Radeon HD 6670","{'total': 2000000000}","{'cycles': 800000000}",NULL,"Black / Red",167,NULL
399,Asus,HD7750-1GD5,"Radeon HD 7750","{'total': 1000000000}","{'cycles': 820000000}",NULL,"Black / Red",198,NULL
400,Asus,HD7750-1GD5-V2,"Radeon HD 7750","{'total': 1000000000}","{'cycles': 820000000}",NULL,"Black / Red",198,NULL
401,Asus,HD7750-DCSL-1GD5,"Radeon HD 7750","{'total': 1000000000}","{'cycles': 800000000}",NULL,"Black / Red",198,NULL
402,Asus,HD7750-T-1GD5,"Radeon HD 7750","{'total': 1000000000}","{'cycles': 900000000}",NULL,"Black / Red",198,NULL
403,Asus,HD7770-1GD5,"Radeon HD 7770 GHz Edition","{'total': 1000000000}","{'cycles': 1000000000}",NULL,"Black / Red",190,NULL
